Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProductUnavailablePageValidation_TestSuite,Chrome 83.0.4103.97,,,2020-06-11 16:40:04,2020-06-11 16:41:20,1m - 16.307s,PASSED
,,,,,,,
Test Cases/Smoke_Demo/ProductUnavailablePageValidation,Chrome 83.0.4103.97,,,2020-06-11 16:40:04,2020-06-11 16:41:20,1m - 15.964s,PASSED
url = url,Chrome 83.0.4103.97,,,2020-06-11 16:40:05,2020-06-11 16:40:05,0.379s,PASSED
applicationName = applicationName,Chrome 83.0.4103.97,,,2020-06-11 16:40:05,2020-06-11 16:40:05,0.003s,PASSED
deviceType = deviceType,Chrome 83.0.4103.97,,,2020-06-11 16:40:05,2020-06-11 16:40:05,0.030s,PASSED
isCanonical = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 83.0.4103.97,,,2020-06-11 16:40:05,2020-06-11 16:40:05,0.004s,PASSED
"if (url.contentEquals(""parenting"") || url.contentEquals(""realsimple"") || url.contentEquals(""people""))",Chrome 83.0.4103.97,,,2020-06-11 16:40:05,2020-06-11 16:40:05,0.008s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:40:05,2020-06-11 16:40:05,0.034s,PASSED
"openBrowser("""")",Chrome 83.0.4103.97,,,2020-06-11 16:40:05,2020-06-11 16:40:09,4.064s,PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-11 16:40:09,2020-06-11 16:40:10,1.269s,PASSED
"navigateToUrl(url, STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:40:10,2020-06-11 16:40:37,26.109s,PASSED
"if (applicationName.equalsIgnoreCase(""more""))",Chrome 83.0.4103.97,,,2020-06-11 16:40:37,2020-06-11 16:40:37,0.002s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:40:37,2020-06-11 16:41:15,38.827s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageLogo""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:15,2020-06-11 16:41:18,2.649s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageFooterLogo""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:18,2020-06-11 16:41:18,0.361s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageFooterCopyright""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:18,2020-06-11 16:41:19,0.443s,PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-11 16:41:19,2020-06-11 16:41:20,1.166s,PASSED
